wavelength_um,snr
1.207908932714617078e+00,1.139342071718324156e+01
1.207925367362722158e+00,1.139517666920758998e+01
1.207941802010827459e+00,1.140020297806435146e+01
1.207958236658932538e+00,1.140496012448390140e+01
1.207974671307037839e+00,1.140724770116524844e+01
1.207991105955142919e+00,1.140953558710300975e+01
1.208007540603247998e+00,1.140804329674666562e+01
1.208023975251353299e+00,1.140450121421514851e+01
1.208040409899458378e+00,1.140124843151861533e+01
1.208056844547563680e+00,1.139917013059779549e+01
1.208073279195668981e+00,1.139709040641866800e+01
1.208089713843774060e+00,1.140118502498836150e+01
1.208106148491879139e+00,1.140735766996890277e+01
1.208122583139984441e+00,1.141272083852257602e+01
1.208139017788089520e+00,1.141617517921499925e+01
1.208155452436194821e+00,1.141963025186536029e+01
1.208171887084299900e+00,1.141862036142556924e+01
1.208188321732404980e+00,1.141680716094878001e+01
1.208204756380510281e+00,1.141689199586052439e+01
1.208221191028615582e+00,1.141985819080612963e+01
1.208237625676720661e+00,1.142282494263953829e+01
1.208254060324825963e+00,1.143086590232647204e+01
1.208270494972931042e+00,1.143919421392246072e+01
1.208286929621036121e+00,1.144446834640532806e+01
1.208303364269141422e+00,1.144663976232768476e+01
1.208319798917246501e+00,1.144875627889421921e+01
1.208336233565351803e+00,1.144971581558820262e+01
1.208352668213456882e+00,1.145067515829979854e+01
1.208369102861562183e+00,1.145078402237667525e+01
1.208385537509667262e+00,1.145031292842772253e+01
1.208401972157772564e+00,1.144955302910520700e+01
1.208418406805877643e+00,1.144707840588596248e+01
1.208434841453982944e+00,1.144460219099301668e+01
1.208451276102088023e+00,1.144852648823132313e+01
1.208467710750193103e+00,1.145528832452635370e+01
1.208484145398298404e+00,1.146143316635478904e+01
1.208500580046403483e+00,1.146564113919326289e+01
1.208517014694508784e+00,1.146985010521138904e+01
1.208533449342614086e+00,1.147150734364785940e+01
1.208549883990719165e+00,1.147248966996499675e+01
1.208566318638824244e+00,1.147376188695522892e+01
1.208582753286929545e+00,1.147559785768739005e+01
1.208599187935034625e+00,1.147743396709870289e+01
1.208615622583139926e+00,1.147984215871934310e+01
1.208632057231245005e+00,1.148232247127619488e+01
1.208648491879350084e+00,1.148452876455625749e+01
1.208664926527455385e+00,1.148638201166446926e+01
1.208681361175560687e+00,1.148823540354774408e+01
1.208697795823665766e+00,1.149014975368133484e+01
1.208714230471771067e+00,1.149206514919153399e+01
1.208730665119876146e+00,1.149261431712444548e+01
1.208747099767981226e+00,1.149197195380357428e+01
1.208763534416086527e+00,1.149149720944931374e+01
1.208779969064191606e+00,1.149289006002987890e+01
1.208796403712296907e+00,1.149681126063790693e+01
1.208812838360401987e+00,1.150561607490138982e+01
1.208829273008507288e+00,1.151542458042190376e+01
1.208845707656612367e+00,1.152437226795058045e+01
1.208862142304717668e+00,1.152936446755709099e+01
1.208878576952822748e+00,1.153435389909742348e+01
1.208895011600928049e+00,1.154101199663840482e+01
1.208911446249033128e+00,1.154829598649303435e+01
1.208927880897138207e+00,1.155618401506213822e+01
1.208944315545243509e+00,1.156566079980764172e+01
1.208960750193348588e+00,1.157514078327357865e+01
1.208977184841453889e+00,1.158403310322588986e+01
1.208993619489559190e+00,1.159280123183434164e+01
1.209010054137664270e+00,1.159974508866818965e+01
1.209026488785769349e+00,1.160359712328946280e+01
1.209042923433874650e+00,1.160744484852359371e+01
1.209059358081979729e+00,1.161122504503494923e+01
1.209075792730085031e+00,1.161499529784505569e+01
1.209092227378190110e+00,1.162010239294419911e+01
1.209108662026295189e+00,1.162673745100369871e+01
1.209125096674400490e+00,1.163342369422455391e+01
1.209141531322505791e+00,1.164353440580386057e+01
1.209157965970610871e+00,1.165364911482787136e+01
1.209174400618716172e+00,1.166536112865606967e+01
1.209190835266821251e+00,1.167831913891938633e+01
1.209207269914926330e+00,1.169061563057959141e+01
1.209223704563031632e+00,1.169750209382002026e+01
1.209240139211136711e+00,1.170438833202237205e+01
1.209256573859242012e+00,1.171023147041066714e+01
1.209273008507347091e+00,1.171552940145929789e+01
1.209289443155452171e+00,1.172144860164863012e+01
1.209305877803557472e+00,1.172978891229538689e+01
1.209322312451662773e+00,1.173813090248687452e+01
1.209338747099767852e+00,1.174651930018063517e+01
1.209355181747873154e+00,1.175492418498769354e+01
1.209371616395978233e+00,1.176247918248400026e+01
1.209388051044083312e+00,1.176803999365087527e+01
1.209404485692188613e+00,1.177359882593477991e+01
1.209420920340293693e+00,1.178209493185108947e+01
1.209437354988398994e+00,1.179112638374575539e+01
1.209453789636504295e+00,1.179983233530104414e+01
1.209470224284609374e+00,1.180803440980259289e+01
1.209486658932714453e+00,1.181623796793318171e+01
1.209503093580819755e+00,1.182477315335240320e+01
1.209519528228924834e+00,1.183333117545996771e+01
1.209535962877030135e+00,1.184141945900758053e+01
1.209552397525135214e+00,1.184901252132311633e+01
1.209568832173240294e+00,1.185656364949787367e+01
1.209585266821345595e+00,1.186290683429994175e+01
1.209601701469450674e+00,1.186924907319215983e+01
1.209618136117555975e+00,1.187711052916432486e+01
1.209634570765661277e+00,1.188607094804887332e+01
